	Domain	Phylum	Class	Order	Family	Genus	Species
6d039fd4f41fff7d675f5e2ff9704d38	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Tepidimonas	
fc59bdc45c1a80f533e584bfb3128274	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	
bcfa9caeb61dbc47e2831c8876d454e8	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
7eca3e853ac2fd7c63d8a8765cd27d2c	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	SH-PL14	
b10d8d7ebf7b82c9ab1e0dfdea2c21a6	Bacteria	Patescibacteria	Parcubacteria	CandidatusNomurabacteria	unculturedbacterium	unculturedbacterium	unculturedbacterium
dd819603ad963e25e20e4ad3e313e7dc	Bacteria	Proteobacteria	Gammaproteobacteria				
27b363de92b287e55ed381f8af6f8b44	Bacteria	Patescibacteria	Parcubacteria				
4f30d5ccbcf75299b7f128db3f297088	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
5ad40a6596391149969f19ea8c4998fd	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
c19e1716f39ec1d2c8c7b660ca1f4ed2	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
64d3ec31499b958452a736d50f2673cf	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	
040f6b478626e6fbd3a68981f9ef24bb	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	
905c35e10546e8f9776ca5120d79ccf1	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured	
b425cdef779faf646098d4a4ed7b258f	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
02d83d8a17aff6a1c16a716f2a24277b	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	unculturedbacterium	unculturedbacterium	unculturedbacterium
76bbfd9db10118f79b203c448ad500a8	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Polynucleobacter	
5af618653db94825fb080a2b004519ca	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae		
